introduction,group,brand,model_name,length,width,height,curb_weight,total_max_power_hp,price
2007,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo 147,4223,1729,1442,1185,105,21950
2008,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo 159,4661,1830,1422,1360,140,28450
2013,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo 4C,3990,1868,1184,895,240,75360
2008,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo 8C,4381,1894,1341,1560,450,220000
2009,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Brera,4413,1830,1372,1420,200,40950
2005,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Crosswagon,4441,1765,1497,1505,150,38855
2007,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo GT,4489,1763,1362,1265,140,30495
2020,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Giulia,4643,1860,1436,1404,200,44170
2014,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Giulietta,4351,1798,1465,1255,105,23450
2011,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo MiTo,4065,1721,1434,1055,70,16450
2016,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Mito,4063,1720,1453,1055,78,17950
2020,Fiat Chrysler Automobiles,Alfa Romeo,Alfa Romeo Stelvio,4687,1903,1671,1635,200,63335
2011,Independent,Aston Martin,Aston Martin Cygnet,3078,1680,1500,988,98,41063
2018,Independent,Aston Martin,Aston Martin DB11,4739,1940,1279,1870,510,262908
2012,Independent,Aston Martin,Aston Martin DB9,4720,1875,1282,1785,517,258501
2008,Independent,Aston Martin,Aston Martin DBS,4721,1905,1280,1695,517,365291
2010,Independent,Aston Martin,Aston Martin Rapide,5019,1875,1360,1965,476,270234
2001,Independent,Aston Martin,Aston Martin V12,4665,1925,1320,1780,457,332875
2012,Independent,Aston Martin,Aston Martin Vanquish,4720,1905,1295,1785,573,322018
2018,Independent,Aston Martin,Aston Martin Vantage,4465,1942,1273,1530,510,211000
2012,Independent,Aston Martin,Aston Martin Virage,4720,1905,1280,1785,497,278785
2015,Volkswagen Group,Audi,Audi A1,3973,1740,1416,1010,95,20190
2016,Volkswagen Group,Audi,Audi A3,4241,1777,1424,1125,115,26680
2015,Volkswagen Group,Audi,Audi A4,4726,1842,1427,1295,150,38540
2011,Volkswagen Group,Audi,Audi A5,4626,1854,1383,1595,170,48540
