Order ID,Style,base-SKU,SKU,Category,Size,ASIN,currency,Amount
405-8078784-5731545,SET389,SET389,SET389-KR-NP-S,Set,S,B09KXVBD7Z,INR,647.62
171-9198151-1101146,JNE3781,JNE3781,JNE3781-KR-XXXL,kurta,3XL,B09K3WFS32,INR,406.0
404-0687676-7273146,JNE3371,JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,INR,329.0
403-9615377-8133951,J0341,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,INR,753.33
407-1069790-7240320,JNE3671,JNE3671,JNE3671-TU-XXXL,Top,3XL,B098714BZP,INR,574.0
404-1490984-4578765,SET264,SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,INR,824.0
408-5748499-6859555,J0095,J0095,J0095-SET-L,Set,L,B08CMHNWBN,INR,653.0
406-7807733-3785945,JNE3405,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,INR,399.0
407-5443024-5233168,SET200,SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,,
402-4393761-0311520,JNE3461,JNE3461,JNE3461-KR-XXL,kurta,XXL,B08B3XF5MH,INR,363.0
407-5633625-6970741,JNE3160,JNE3160,JNE3160-KR-G-S,kurta,S,B07K3YQLF1,INR,685.0
171-4638481-6326716,JNE3500,JNE3500,JNE3500-KR-XS,kurta,XS,B098117DJ3,INR,364.0
405-5513694-8146768,JNE3405,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,INR,399.0
408-7955685-3083534,SET182,SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,INR,657.0
408-1298370-1920302,J0351,J0351,J0351-SET-L,Set,L,B09CSSQY4F,INR,771.0
403-4965581-9520319,PJNE3368,PJNE3368,PJNE3368-KR-6XL,kurta,6XL,B09PY99SVJ,INR,544.0
406-9379318-6555504,JNE3721,JNE3721,JNE3721-KR-XXL,kurta,XXL,B099FCT65D,INR,329.0
405-9013803-8009918,JNE3405,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,INR,399.0
402-4030358-5835511,JNE3697,JNE3697,JNE3697-KR-XXL,kurta,XXL,B098133PV5,INR,458.0
405-5957858-1051546,SET254,SET254,SET254-KR-NP-XS,Set,XS,B0983DDPL6,INR,886.0
405-0607769-0716360,JNE3795,JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,INR,517.0
404-8494550-5860325,SET345,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,INR,666.0
171-1305077-2813934,JNE3373,JNE3373,JNE3373-KR-L,kurta,L,B082W7GVH7,INR,376.0
404-6019946-2909948,SET291,SET291,SET291-KR-PP-M,Set,M,B099NK55YG,INR,570.48
402-3384087-4005164,MEN5002,MEN5002,MEN5002-KR-L,kurta,L,B08YYYDN9R,INR,499.0
405-8191138-5176316,NW030,NW030,NW030-TP-PJ-XS,Set,XS,B09G2RQSRZ,INR,582.0
403-9230474-9657916,JNE3415,JNE3415,JNE3415-KR-XXXL,kurta,3XL,B082W8JXJ9,INR,299.0
408-3484251-6901959,PJNE2199,PJNE2199,PJNE2199-KR-N-4XL,kurta,4XL,B09LD2W9XL,INR,459.0
405-7755803-4729935,JNE3567,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,INR,399.0
404-5933402-8801952,JNE2132,JNE2132,JNE2132-KR-398-XXXL,kurta,3XL,B07JG3CND8,,
171-9040274-9291563,J0341,J0341,J0341-DR-S,Western Dress,S,B099NR7612,INR,791.0
403-7056319-0979561,MEN5009,MEN5009,MEN5009-KR-XL,kurta,XL,B08YYTCPYX,INR,499.0
404-9632124-1107550,J0011,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,INR,1233.0
402-1465437-0579556,JNE3766,JNE3766,JNE3766-KR-M,kurta,M,B09K3XR43V,INR,517.0
404-7774085-3780319,JNE3373,JNE3373,JNE3373-KR-XL,kurta,XL,B082W8BXW1,INR,376.0
402-2764952-1492318,MEN5001,MEN5001,MEN5001-KR-XL,kurta,XL,B08YYRH2Q6,INR,499.0
406-0272200-7784379,SET345,SET345,SET345-KR-NP-L,Set,L,B09KXT4VG7,INR,666.0
403-4367956-2849158,JNE3787,JNE3787,JNE3787-KR-S,kurta,S,B09RKBXM5B,INR,487.0
403-4367956-2849158,JNE3543,JNE3543,JNE3543-KR-S,kurta,S,B08HHJP41L,INR,368.0
403-4242957-8599555,JNE3405,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,INR,399.0
